R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,Number,Name,Class
37.38027016,56.86548337,73.16938935,101.0059537,141.6026123,152.938193,157.2199978,160.1787974,162.5651397,164.490809,166.2991851,167.8910843,169.5154244,171.6617176,179.3338667,193.7452184,38.45603394,59.62647912,74.93052506,97.10638535,133.1549139,141.1639131,145.2900309,148.3763861,150.7271239,152.6792811,154.4894876,156.1475404,157.8657016,161.3950287,170.5343281,191.8271936,41.29263573,64.88073975,78.33617385,93.5459552,112.0226249,117.0811937,120.6606631,123.476855,125.6196554,127.4816923,129.2517025,131.1864628,134.8169538,143.0311453,154.831206,181.3393987,1,a0.tif,Authentic
34.47672385,58.85871102,72.10408216,81.44157922,92.4919808,105.0554811,117.0340863,122.6660341,126.7127972,130.7612934,135.3193168,139.6527871,145.2770439,158.7219617,182.2544189,246.2551537,24.53101626,46.75455831,56.85900346,66.25359083,78.77847654,92.38460966,104.3572731,110.1271489,114.1067614,117.9817296,121.8949503,125.9174295,133.2602984,148.5861055,172.0177874,244.598199,26.57715923,44.47722706,52.11747851,56.43674183,63.11379451,74.17001563,82.23064042,87.00234427,91.17266401,95.84524075,100.7058014,105.2444742,112.6396383,129.8096673,152.7084806,242.2251991,2,a1.tif,Authentic
26.92706434,39.24923718,57.12261378,116.3018159,130.985971,133.7594701,136.7911659,140.9841855,146.785584,154.0629605,158.7343058,162.6415495,166.4692814,169.5133586,171.8788375,174.6968073,22.80865553,35.29429932,55.41837532,94.87902806,108.8980017,111.5006326,114.4417073,118.2546327,124.5963979,132.0010791,136.9551967,141.1499219,144.9406467,148.1544616,150.7952592,153.6185905,20.66497972,34.01607502,49.00602836,61.88431197,66.75343281,69.08283099,71.75198154,76.024373,83.11215718,90.09496167,95.40252298,99.75366525,103.3173073,106.2192826,108.9241618,112.2793034,3,a10.tif,Authentic
40.61315466,47.23386863,50.39107711,53.96372251,57.70243779,61.44835069,67.82696759,78.37854456,90.57203053,96.02799479,99.12474682,101.7251519,106.8939525,126.909885,159.0866247,197.0208695,51.06018519,55.82279008,59.31329572,63.88791233,70.11783854,76.15312138,82.70654297,93.2168873,108.2179905,115.420157,119.2798394,122.3033673,128.3958333,150.8953631,184.0672924,214.4091616,57.60980903,61.74310981,64.68762659,69.48631004,79.09998915,89.44241898,94.71612775,103.6225767,121.9394712,128.0603299,130.3444191,132.7172128,138.3109447,158.3512731,185.4813549,213.7251881,4,a100.tif,Authentic
74.37102141,101.2150788,117.0128219,151.752134,182.9897099,189.8871347,194.2766746,197.5015734,200.2671079,202.9640119,205.7525137,209.4164858,217.3779839,223.2828957,229.1345124,237.0481047,91.98887804,120.1751483,136.5389178,170.5860098,203.5836769,209.8116862,213.5429326,216.3134946,218.8732096,221.1762334,223.5767144,226.3317419,231.7656973,236.1014178,240.6212927,246.3324472,104.2406503,133.7207393,148.0387551,176.6966869,203.9541558,209.2610858,212.5466037,215.1191587,217.6278393,219.7766927,221.844184,224.937934,232.6598307,237.0067998,241.329626,246.6643338,5,a101.tif,Authentic
36.12910518,58.50736039,68.89516421,72.67648655,74.24594907,75.34789135,76.58450883,84.17639612,100.6557617,107.1814055,112.4410084,118.7252242,125.5316298,130.8215784,135.2934028,142.3689236,53.41970486,74.17590784,84.31667752,87.92267072,89.46439164,90.5774197,92.02139395,105.2477575,123.9885887,131.2319517,136.973253,142.5133825,147.8400788,152.535536,156.7357675,167.0582863,67.02502894,86.46437355,92.46464482,95.26607711,96.45529514,97.33610026,98.72909433,129.4026693,143.153682,150.4609375,157.0732241,162.4607024,166.7991536,169.9767976,175.0570747,203.0956308,6,a102.tif,Authentic
38.74611183,60.11346209,61.59476273,62.4888057,63.1691985,64.01971209,65.22509766,67.00764974,70.21386719,97.10006149,124.491428,134.3053205,141.200557,148.3034939,163.3351237,187.2451534,50.12443938,69.36158131,74.97019676,76.34396701,77.26701751,78.11494502,79.14686415,80.65096933,84.00090422,117.9178422,147.9262695,157.4887514,164.8335142,172.190502,186.4469582,205.8935004,48.98696108,73.69692202,88.85548683,91.58532263,92.95402922,94.19314236,95.40972222,97.13042535,100.9280599,137.3470052,159.1652742,166.5103986,172.6673358,179.3794488,190.2911241,205.6114185,7,a103.tif,Authentic
60.97708695,67.94527633,72.32441768,76.69625289,81.89093244,90.26911531,119.6246383,138.2136863,144.931514,148.9478624,151.9334852,154.8464988,159.2915762,164.5913267,170.8731554,183.5090242,57.90230758,64.56233724,68.68804253,72.85385923,77.79985894,88.25963903,133.5530237,160.5701678,167.0665328,170.8926685,173.8624132,176.7879413,181.3331163,186.572139,192.5690828,203.7518808,39.9860026,49.01238788,52.09208623,55.23140914,58.87745949,69.67912688,138.9792752,173.7139576,178.4582248,181.7794235,183.8548358,185.9390914,189.0532046,192.3851997,196.8736075,203.9440828,8,a104.tif,Authentic
15.31329572,33.65896267,38.41015625,42.92728226,59.28734447,75.27488426,76.43129702,77.43194806,78.53546369,80.98716001,123.1209129,129.415238,132.3081055,135.2836372,138.5964084,141.6541703,24.96813513,42.31345848,47.11315466,51.97898582,71.36149089,90.60838035,92.0778899,93.22967303,94.43771701,97.07235605,145.2695132,150.8624674,153.5088252,156.0589193,159.2712854,162.0803313,26.49750434,44.01520906,48.61738643,53.30973307,75.77369068,97.17370153,98.14840133,99,99.85007957,102.5241247,161.4380064,166.1120515,168.3719256,170.4143338,172.290889,173.9449327,9,a105.tif,Authentic
8.744791667,29.46940104,39.47793692,45.38859954,53.16963252,59.56054688,61.63485605,64.49833623,68.92324942,74.99972873,95.04050926,114.6078559,120.582194,125.6161024,132.8955802,164.4350948,18.70225694,38.36414931,48.24920428,54.7315719,63.3585612,72.99770327,75.12386068,78.09564887,82.25381583,87.63472946,114.2968569,136.4937428,142.4593461,147.3274559,154.2167245,184.1619828,24.50844546,42.73837167,50.1578776,55.72658058,64.46225767,82.67974175,86.93834997,88.90702763,91.40869141,95.46410229,126.4650427,146.0877098,151.9621672,157.881854,165.6808268,188.0383753,10,a106.tif,Authentic
