R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Number,Name,Class
35.89014945,54.37736007,68.26386738,88.00351656,122.4720559,148.9791937,154.3003307,157.7841504,160.3257839,162.4749864,164.2120819,165.7110562,167.347888,168.6539959,170.2571692,172.6813329,181.7651861,194.3177879,36.82643279,56.96981622,70.75978566,87.11056223,116.4925692,137.8439737,142.4622598,145.8461506,148.5478712,150.5675891,152.4399883,153.9991209,155.4921505,156.9266547,158.7960816,163.1098924,173.3372964,192.9343576,39.45292418,62.36065642,74.96722066,86.14187633,104.897978,114.38477,118.1831959,121.1627664,123.6520283,125.5263951,127.2119563,128.657638,130.4277641,132.5502993,137.543643,145.5978984,158.0683635,182.8913216,1,a0.tif,Authentic
33.24565663,55.42717796,69.28178507,77.55126219,87.18859631,96.4537196,109.3018378,118.2827898,122.9047599,126.5009419,130.0460083,134.0311466,138.0334073,141.8921171,149.2291623,164.0162431,188.5355633,250.7438356,23.52614393,43.56721229,54.97923557,61.4870013,73.18503789,83.04856198,96.75103613,105.6076527,110.3923054,113.8692594,117.3462134,120.8137899,124.2636999,128.735714,138.2637836,153.8585423,178.6111693,249.846025,25.57713401,42.16339431,50.73412316,54.71486583,59.05932097,67.23154854,76.99233893,83.16134299,87.25189434,90.94340018,95.01942479,99.35776782,103.4590782,107.9627412,118.3832629,134.8963034,160.3936032,248.6707414,2,a1.tif,Authentic
26.17134843,37.27810106,49.26893289,93.21396576,128.6958178,132.1142044,134.4934065,137.4116465,141.2314648,146.3694897,153.0174153,157.6196257,161.1357224,164.6036338,167.7660234,170.2136727,172.2379537,174.9042157,22.06149789,33.19994139,47.93050613,78.9793193,106.3171181,109.9725374,112.184075,115.0247415,118.5057144,124.1551472,130.9527777,135.720643,139.556244,143.1143718,146.3001214,148.9654624,151.1439277,153.8160087,19.81307824,31.89785239,44.65751245,57.7383514,65.15845439,67.69565035,69.78645288,72.2920417,76.28852514,82.66965295,89.10704567,94.00020932,98.23326496,101.6138067,104.5081006,106.9976975,109.3190857,112.528572,3,a10.tif,Authentic
40.04927572,46.6628418,49.51969401,52.42508952,55.93174235,59.06833903,62.756368,69.2012736,79.13826497,90.23299154,95.29730225,98.41007487,100.6796875,103.5560913,111.4217529,136.0357869,164.0795695,199.8181559,50.69270833,55.29158529,58.31315104,61.72955322,66.94897461,72.67714437,77.58959961,84.14752197,93.92315674,107.7880656,114.4228923,118.5076497,120.9983521,124.4830526,133.5350952,160.9568075,188.5564575,216.6142578,57.31103516,61.21099854,63.89274089,67.09370931,72.99245199,84.50024414,91.02001953,95.61236572,104.3253988,121.4382528,127.5615234,129.7624715,131.6247355,134.7361857,143.039327,166.6974487,189.2943522,215.8921712,4,a100.tif,Authentic
72.10868327,98.92480469,111.4540405,133.1941732,174.3487752,186.3003743,191.2685954,194.8432007,197.68927,200.1248576,202.5101522,204.9435628,207.6772868,213.1388957,219.9106852,224.8156738,230.182902,237.5950521,89.56850179,117.6719564,131.330363,151.4531047,194.7069906,206.6200765,211.008016,214.0216471,216.4776815,218.7323608,220.8232625,222.8861084,225.1114909,228.7966715,233.5819092,237.3121338,241.4014079,246.7307536,101.9677124,130.854248,143.9270223,160.3319906,196.9019572,206.4644572,210.3220418,212.996582,215.2590535,217.4563192,219.479777,221.2309367,223.4047648,228.6392415,234.6031698,238.1681722,242.0983887,246.9973755,5,a101.tif,Authentic
34.56770833,55.91741943,66.87288411,71.82897949,73.54713949,74.65169271,75.64137777,76.90757243,84.94844564,100.2422282,106.2550659,110.9518229,116.0793254,122.2563883,127.8422852,132.0125326,136.0916138,142.9150391,52.14674886,71.5178833,82.38020833,87.04892985,88.72056071,89.89744059,90.89959717,92.50437419,106.6734212,123.5124512,130.2364299,135.3768717,140.4454549,145.1526489,149.8778687,153.5907796,157.5243734,168.0195719,65.7329305,84.40386963,91.43292236,94.39666748,95.90625,96.88720703,97.62811279,99.8747762,132.2734578,142.6994019,149.3293864,155.3405762,160.5092977,164.8135173,168.1239827,170.8354289,176.9533285,205.4819336,6,a102.tif,Authentic
36.33937581,59.62764486,61.29410807,62.04990641,63,63.56534831,64.27217611,65.37823486,67.13360596,69.90466309,91.78887939,117.947937,131.6204224,137.7705485,143.8131104,150.9733276,167.4341431,188.2163493,48.55385335,67.53649902,74.32069906,75.8521932,76.88696289,77.67539469,78.37931315,79.29022217,80.73234049,83.70121257,110.9416097,141.6855062,154.6477661,161.1777344,167.5911458,174.8359375,190.0188395,206.6857707,48.47908529,67.87410482,87.8858846,90.77620443,92.39233398,93.43094889,94.46728516,95.5859375,97.27172852,100.5574341,130.0535889,155.5496826,164.1436971,169.6899211,174.9713135,181.8183187,192.7423503,206.3612671,7,a103.tif,Authentic
60.47422282,67.12237549,71.18164063,74.90942383,79.13374837,84.24422201,96.11993408,124.3978068,138.850708,144.6729533,148.4258219,151.1267904,153.6158244,156.8446859,161.2998454,166.1503499,172.1118774,184.5418498,57.39009603,63.83111572,67.56945801,71.1587321,75.19755046,80.08742269,96.6299235,141.6380412,161.2105509,166.8248494,170.3792521,173.0599569,175.5306803,178.8575236,183.3221029,188.0676473,193.791097,204.607137,39.10925293,48.46272786,51.23901367,53.97560628,56.90380859,60.83459473,78.27764893,154.2990723,174.1664429,178.2655029,181.280721,183.3800659,185.0384521,187.4585368,190.2393595,193.4610189,197.7168376,204.483134,8,a104.tif,Authentic
13.75378418,32.36507161,37.31066895,40.95308431,45.87632243,71.08213298,75.63985189,76.61020915,77.48594157,78.47739665,79.86224365,112.1782633,127.8751221,130.9432983,133.4076945,136.1844279,139.0993449,141.8609416,23.52347819,41.05358887,45.91741943,49.8684082,55.12270101,85.71653239,91.1348877,92.26216634,93.25838216,94.36743164,95.82230632,133.0708415,149.4966227,152.240682,154.4534302,156.9097087,159.8051961,162.2153727,25.01816813,42.73718262,47.5705363,51.14955648,56.93239339,92.09598796,97.55680339,98.2919515,99,99.83133952,100.9008586,147.0484823,164.9690755,167.3366903,169.1884766,170.9731242,172.50354,174.0630493,9,a105.tif,Authentic
7.117818197,27.1992391,37.50042725,43.12123617,48.60249837,56.78715007,60.20890299,61.96421305,64.68562826,68.5386556,74.081014,87.36608887,109.2277222,118.199056,122.4052938,127.2766317,135.0077718,167.1356201,17.17647298,36.20975749,46.11450195,52.29667155,58.08622233,68.39526367,73.75710042,75.43223063,78.35760498,82.03554281,86.48114014,104.1813558,131.0188599,140.1787313,144.195577,148.8546346,156.2745361,186.7298584,23.06449382,41.0018514,48.49755859,53.47371419,58.99121094,71.96518962,84.81341553,87.30564372,89.02040609,91.20977783,94.62392171,114.3511759,142.610026,149.3302816,154.0581665,159.7723592,167.4655558,189.9411011,10,a106.tif,Authentic
95.50421143,127.0322469,132.529012,135.1576131,136.9546305,138.4115194,139.523702,140.5144653,141.4686279,142.4861654,143.6063639,144.7412516,145.7771403,146.6714478,147.4904582,148.3825073,149.4580688,151.4026693,114.3781128,149.4583333,154.3083089,156.9999186,158.705363,160.0980021,161.085734,162.0284627,163.0847778,164.2955729,165.5453491,166.7319539,167.7724202,168.6289673,169.4059855,170.3090413,171.4070841,173.1038208,123.5959676,163.9650065,168.951945,171.836263,173.5434977,174.7038778,175.7002767,176.7569173,178.3619792,179.6143188,180.741862,182.1574707,183.4386597,184.5990194,186.1578979,188.4483846,192.1156209,197.4474894,11,a107.tif,Authentic
25.28334554,44.43444824,54.16558838,59.23522949,63.52244059,66.29650879,68.78100586,71.49969482,74.23101807,76.872111,79.38480632,82.30190023,86.00154622,90.6305542,96.1297404,103.6269531,120.516744,195.7396444,45.80251058,62.87552897,69.58237712,76.39111328,81.48384603,84.99416097,89.61073812,93.86627197,97.76676432,102.2053019,107.1024984,112.3019613,117.2213542,122.1160278,128.0458781,135.0142008,147.1962077,206.005249,58.49035645,74.0912679,80.60402425,87.60703532,93.58052572,97.21185303,101.5610352,107.3152873,112.1316121,119.0451864,128.6725667,138.9937744,147.6426392,155.4314372,161.9450887,169.6175944,179.9924113,230.5495199,12,a108.tif,Authentic
15.94226074,60.74985758,74.95170085,81.02508545,85.36671956,89.5840861,94.1097819,99.6044515,105.4876099,111.1327922,116.3164266,121.0006714,125.4520874,130.0137533,135.1211751,141.081543,148.5763346,163.6629435,38.27872721,93.29034424,112.0305786,117.9391073,122.1505534,126.1091105,130.1854248,135.0285238,140.0529582,144.6844686,148.6700033,152.3785604,155.8738607,159.4898885,163.5372721,168.4296265,174.6899211,186.2016602,57.14371745,122.203125,147.9453125,154.2353109,158.5846965,162.3600464,166.0295003,169.9720662,173.8288574,177.3412272,180.5539958,183.5146484,186.3345947,189.2628988,192.5896403,196.5887858,201.3616943,209.6865234,13,a109.tif,Authentic
49.38401641,74.34106418,76.72307113,78.72717378,85.32528153,121.4848662,134.089128,140.5358563,145.1852472,148.5899025,151.0520367,152.9546197,154.4996442,155.7943651,157.3243187,158.9792356,161.6866078,168.4620924,44.41884707,74.44610039,77.12981957,79.56051409,83.74400301,107.4734374,116.1223678,121.9971533,126.4960857,129.8034914,132.2176079,134.1420438,135.8347637,137.8223301,140.5924561,143.5253904,147.0797924,154.9270733,34.95784318,59.57843178,62.75924143,65.2162264,68.13429899,73.30033072,80.58588353,86.29815381,90.14112279,92.69887386,94.67609997,96.72005693,98.88633985,101.4905179,104.7659396,108.8913216,114.9942228,126.937916,14,a11.tif,Authentic
0,0,10.28892008,36.22766113,42.15867106,48.943868,61.02227783,65.60203044,68.82161458,71.80281576,75.31349691,80.06514486,85.53068034,90.01938883,94.05692546,100.219279,113.3412882,135.4392904,3.94724528,13.60768636,42.95920817,65.93190511,72.3655599,79.22912598,90.67193604,94.88566081,97.90808105,100.8097738,104.6976522,109.8580729,115.9178874,120.8127238,124.3155924,128.6885986,136.3827922,150.7897135,33.81445313,43.76096598,70.19903564,97.47049967,107.3347371,114.4362996,119.8887329,123.6218669,126.6033529,129.5016073,133.2081095,138.3235474,143.9223226,149.3907471,153.7518107,157.1588949,161.6011963,171.8152669,15,a110.tif,Authentic
