R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,Number,Name,Class
59.07519531,67.12988281,73.09179688,79.66992188,95.44726563,145.9443359,171.0927734,182.9140625,191.6826172,200.2509766,208.6826172,218.3623047,227.078125,233.8642578,239.2773438,248.7675781,59.07519531,67.12988281,73.09179688,79.66992188,95.44726563,145.9443359,171.0927734,182.9140625,191.6826172,200.2509766,208.6826172,218.3623047,227.078125,233.8642578,239.2773438,248.7675781,59.07519531,67.12988281,73.09179688,79.66992188,95.44726563,145.9443359,171.0927734,182.9140625,191.6826172,200.2509766,208.6826172,218.3623047,227.078125,233.8642578,239.2773438,248.7675781,1,AU_SS_O_001.bmp,Authentic
8.580078125,24.77734375,30.00683594,35.37792969,39.31152344,43.97363281,49.15332031,53.18164063,58.44824219,65.78613281,126.3828125,167.2138672,178.46875,188.7568359,197.2421875,206.4990234,8.580078125,24.77734375,30.00683594,35.37792969,39.31152344,43.97363281,49.15332031,53.18164063,58.44824219,65.78613281,126.3828125,167.2138672,178.46875,188.7568359,197.2421875,206.4990234,8.580078125,24.77734375,30.00683594,35.37792969,39.31152344,43.97363281,49.15332031,53.18164063,58.44824219,65.78613281,126.3828125,167.2138672,178.46875,188.7568359,197.2421875,206.4990234,2,AU_SS_O_002.bmp,Authentic
8.580078125,24.77734375,30.00683594,35.37792969,39.31152344,43.97363281,49.15332031,53.18164063,58.44824219,65.78613281,126.3828125,167.2138672,178.46875,188.7568359,197.2421875,206.4990234,8.580078125,24.77734375,30.00683594,35.37792969,39.31152344,43.97363281,49.15332031,53.18164063,58.44824219,65.78613281,126.3828125,167.2138672,178.46875,188.7568359,197.2421875,206.4990234,8.580078125,24.77734375,30.00683594,35.37792969,39.31152344,43.97363281,49.15332031,53.18164063,58.44824219,65.78613281,126.3828125,167.2138672,178.46875,188.7568359,197.2421875,206.4990234,3,AU_SS_O_003.bmp,Authentic
53.57910156,68.9375,84.01953125,101.7021484,118.1347656,126.9345703,131.5273438,134.6787109,137.0048828,139.1416016,141.3007813,144.0712891,148.0556641,154.9365234,167.5048828,217.0605469,53.57910156,68.9375,84.01953125,101.7021484,118.1347656,126.9345703,131.5273438,134.6787109,137.0048828,139.1416016,141.3007813,144.0712891,148.0556641,154.9365234,167.5048828,217.0605469,53.57910156,68.9375,84.01953125,101.7021484,118.1347656,126.9345703,131.5273438,134.6787109,137.0048828,139.1416016,141.3007813,144.0712891,148.0556641,154.9365234,167.5048828,217.0605469,4,AU_SS_O_004.bmp,Authentic
59.29785156,71.99902344,81.44140625,96.66113281,116.6689453,126.84375,131.7353516,134.8886719,137.1933594,139.3671875,141.3867188,143.8525391,147.1816406,152.7890625,162.2041016,210.0595703,59.29785156,71.99902344,81.44140625,96.66113281,116.6689453,126.84375,131.7353516,134.8886719,137.1933594,139.3671875,141.3867188,143.8525391,147.1816406,152.7890625,162.2041016,210.0595703,59.29785156,71.99902344,81.44140625,96.66113281,116.6689453,126.84375,131.7353516,134.8886719,137.1933594,139.3671875,141.3867188,143.8525391,147.1816406,152.7890625,162.2041016,210.0595703,5,AU_SS_O_005.bmp,Authentic
171.4658203,189.0273438,198.1787109,203.6738281,207.5703125,210.9873047,214.2910156,217.328125,220.6494141,224.1865234,227.4726563,230.5283203,233.7265625,237.3808594,241.6914063,246.4941406,171.4658203,189.0273438,198.1787109,203.6738281,207.5703125,210.9873047,214.2910156,217.328125,220.6494141,224.1865234,227.4726563,230.5283203,233.7265625,237.3808594,241.6914063,246.4941406,171.4658203,189.0273438,198.1787109,203.6738281,207.5703125,210.9873047,214.2910156,217.328125,220.6494141,224.1865234,227.4726563,230.5283203,233.7265625,237.3808594,241.6914063,246.4941406,6,AU_SS_O_006.bmp,Authentic
0,0.419921875,4.520507813,9.125976563,12.64648438,20.3984375,80.42675781,123.6513672,145.5732422,156.2910156,162.8378906,168.8759766,174.8847656,180.0419922,184.3154297,189.2119141,0,0.419921875,4.520507813,9.125976563,12.64648438,20.3984375,80.42675781,123.6513672,145.5732422,156.2910156,162.8378906,168.8759766,174.8847656,180.0419922,184.3154297,189.2119141,0,0.419921875,4.520507813,9.125976563,12.64648438,20.3984375,80.42675781,123.6513672,145.5732422,156.2910156,162.8378906,168.8759766,174.8847656,180.0419922,184.3154297,189.2119141,7,AU_SS_O_007.bmp,Authentic
28.60449219,76.19433594,146.0683594,160.2255859,167.296875,172.9902344,178.2382813,181.6855469,184.4970703,187.1123047,189.8154297,193.1083984,197.5810547,203.7490234,212.9208984,224.3261719,28.60449219,76.19433594,146.0683594,160.2255859,167.296875,172.9902344,178.2382813,181.6855469,184.4970703,187.1123047,189.8154297,193.1083984,197.5810547,203.7490234,212.9208984,224.3261719,28.60449219,76.19433594,146.0683594,160.2255859,167.296875,172.9902344,178.2382813,181.6855469,184.4970703,187.1123047,189.8154297,193.1083984,197.5810547,203.7490234,212.9208984,224.3261719,8,AU_SS_O_008.bmp,Authentic
21.74316406,26.35351563,31.64746094,58.03710938,84.11523438,113.0908203,139.7324219,165.4628906,183.359375,201.0664063,221.0888672,231.2236328,234.2451172,236.6738281,238.8203125,241.3457031,21.74316406,26.35351563,31.64746094,58.03710938,84.11523438,113.0908203,139.7324219,165.4628906,183.359375,201.0664063,221.0888672,231.2236328,234.2451172,236.6738281,238.8203125,241.3457031,21.74316406,26.35351563,31.64746094,58.03710938,84.11523438,113.0908203,139.7324219,165.4628906,183.359375,201.0664063,221.0888672,231.2236328,234.2451172,236.6738281,238.8203125,241.3457031,9,AU_SS_O_009.bmp,Authentic
75.66894531,90.83984375,97.04980469,102.0136719,106.6826172,110.7734375,114.9824219,119.4707031,126.8007813,171.2128906,215.2070313,231.71875,234.90625,236.5371094,238.1162109,240.1591797,75.66894531,90.83984375,97.04980469,102.0136719,106.6826172,110.7734375,114.9824219,119.4707031,126.8007813,171.2128906,215.2070313,231.71875,234.90625,236.5371094,238.1162109,240.1591797,75.66894531,90.83984375,97.04980469,102.0136719,106.6826172,110.7734375,114.9824219,119.4707031,126.8007813,171.2128906,215.2070313,231.71875,234.90625,236.5371094,238.1162109,240.1591797,10,AU_SS_O_010.bmp,Authentic
66.1484375,87.71777344,103.3154297,111.015625,116.1630859,120.4511719,123.6357422,125.9882813,127.6474609,128.9550781,130.3681641,132.2949219,134.2822266,136.2363281,138.2158203,150.5849609,66.1484375,87.71777344,103.3154297,111.015625,116.1630859,120.4511719,123.6357422,125.9882813,127.6474609,128.9550781,130.3681641,132.2949219,134.2822266,136.2363281,138.2158203,150.5849609,66.1484375,87.71777344,103.3154297,111.015625,116.1630859,120.4511719,123.6357422,125.9882813,127.6474609,128.9550781,130.3681641,132.2949219,134.2822266,136.2363281,138.2158203,150.5849609,11,AU_SS_O_011.bmp,Authentic
0,0.189453125,1.0390625,2.65234375,9.43359375,29.14453125,43.91992188,64.13964844,84.06640625,105.8681641,126.1318359,138.5537109,148.4072266,158.7568359,169.2070313,181.4589844,0,0.189453125,1.0390625,2.65234375,9.43359375,29.14453125,43.91992188,64.13964844,84.06640625,105.8681641,126.1318359,138.5537109,148.4072266,158.7568359,169.2070313,181.4589844,0,0.189453125,1.0390625,2.65234375,9.43359375,29.14453125,43.91992188,64.13964844,84.06640625,105.8681641,126.1318359,138.5537109,148.4072266,158.7568359,169.2070313,181.4589844,12,AU_SS_O_012.bmp,Authentic
