R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,Number,Name,Class
34.02929688,69.52197266,81.13606771,89.15869141,95.95719401,103.730306,115.9624023,133.3652344,156.3834635,175.4049479,185.734375,192.5885417,200.5094401,208.7781576,215.8082682,223.8499349,30.59895833,62.43522135,74.09879557,84.75406901,122.8336589,157.2724609,169.0366211,180.4503581,189.8574219,199.5315755,204.8834635,208.6194661,213.0253906,217.027181,220.3782552,224.9112956,15.57242839,33.53531901,42.7664388,57.08854167,131.6066081,191.7439779,200.034668,207.5745443,212.6336263,215.7386068,217.9864909,220.2708333,222.6682943,224.5496419,226.2732747,229.0450846,1,Au_ani_0001.jpg,Authentic
10.48111979,20.58414714,26.36051432,32.86149089,39.26334635,45.15494792,50.49609375,55.61979167,60.71728516,65.96647135,71.59440104,77.94938151,85.29980469,93.07861328,100.8098958,136.4747721,11.97363281,26.22460938,32.85205078,38.96777344,45.47916667,51.70410156,57.47672526,63.20458984,68.76106771,74.44026693,80.3264974,87.14713542,95.69514974,110.5413411,134.0532227,162.800293,1.731770833,11.4703776,20.42773438,27.91764323,34.40445964,40.44254557,46.39160156,52.48665365,59.12255859,66.73860677,75.40397135,82.55403646,89.69124349,114.7958984,169.0644531,195.6417643,2,Au_ani_0002.jpg,Authentic
4.826660156,12.61376953,19.01595052,25.14957682,31.41357422,38.03190104,45.9514974,56.26839193,69.9375,87.35693359,108.0924479,128.8989258,148.3094076,167.6079102,188.1303711,210.9529622,2.426269531,7.89827474,14.23307292,21.00423177,29.4288737,40.20947266,51.80419922,62.71386719,72.65657552,82.38997396,92.38395182,103.3385417,115.8577474,130.6848958,149.1490885,172.2843424,0.208658854,2.918782552,5.878255208,9.462239583,14.01204427,20.23958333,28.24869792,37.39436849,47.80045573,59.90852865,73.43701172,88.68245443,102.7360026,116.4446615,131.0213216,152.5400391,3,Au_ani_0003.jpg,Authentic
2.879720052,12.81966146,22.95540365,32.26334635,40.39615885,47.60270182,54.46826172,61.72281901,68.85449219,74.73746745,79.72623698,85.73860677,95.203125,110.835612,146.3414714,216.5983073,1.949544271,11.09440104,23.57552083,35.26220703,45.82063802,54.53125,62.96516927,71.1578776,78.95703125,87.16796875,94.87516276,101.9677734,109.3772786,119.2381185,137.898763,180.9928385,3.37906901,12.55501302,22.66178385,31.24088542,38.91455078,45.74283854,51.4671224,55.85042318,59.91503906,64.01204427,68.05566406,72.87776693,78.95768229,87.55436198,104.5732422,147.4988607,4,Au_ani_0004.jpg,Authentic
13.9305013,23.81722005,30.26692708,33.96028646,35.68717448,36.80973307,37.67692057,38.57454427,39.64176432,40.65755208,41.57454427,42.65901693,45.31022135,55.08740234,77.89713542,169.8557943,21.83886719,40.39453125,47.88720703,52.71370443,55.61865234,57.22363281,58.12141927,59.08854167,60.07356771,61,61.72607422,62.13964844,63,63.89550781,66.65120443,152.7809245,34.80224609,93.92529297,105.0276693,110.5839844,114.3642578,116.4632161,117.8777669,119.1953125,120.3844401,121.5222982,122.5325521,123.2897135,124,124.8798828,125.9995117,172.9715169,5,Au_ani_0005.jpg,Authentic
6.106770833,15.45458984,22.17919922,28.57242839,35.37906901,42.59651693,49.76269531,56.84407552,64.31640625,72.06998698,80.19905599,89.00406901,98.81917318,111.0963542,129.4283854,188.4065755,9.863769531,21.31217448,28.93554688,36.47216797,44.89355469,53.74397786,62.88102214,71.96028646,81.02897135,90.35660807,99.8194987,109.9475911,121.3699544,136.2267253,156.7708333,200.6544596,5.380045573,13.5875651,20.00602214,25.80794271,31.97233073,38.61702474,45.57617188,52.49414063,59.36230469,66.52587891,74.04915365,82.0703125,91.53955078,103.1694336,121.2469076,184.2104492,6,Au_ani_0006.jpg,Authentic
1.598144531,2.406901042,4.699707031,9.411621094,16.83837891,26.53564453,37.77311198,51.18701172,65.89257813,81.43847656,96.55664063,112.3404948,128.132487,145.6013997,169.530599,201.362793,1.873697917,3.142578125,6.539876302,12.29964193,21.08886719,30.74283854,41.93929036,56.38151042,70.90250651,85.44205729,99.13867188,112.1748047,126.8056641,144.2233073,167.3873698,198.6456706,1.2890625,2.302408854,3.969726563,7.078450521,12.85253906,20.34000651,29.28889974,41.3297526,56.66455078,74.73014323,92.71386719,109.5143229,126.1207682,144.4542643,167.3408203,196.3022461,7,Au_ani_0007.jpg,Authentic
3.855957031,16.28971354,44.29248047,62.71972656,75.6656901,82.82714844,88.72395833,94.20638021,99.26236979,104.1228841,108.9396159,114.1598307,120.4840495,128.7200521,141.093099,189.4910482,9.742838542,17.62402344,27.20442708,47.10384115,64.33007813,72.99951172,79.29150391,84.61149089,89.30192057,93.51269531,97.6484375,102.0203451,107.1401367,113.2403971,124.871582,181.0485026,13.68505859,35.2281901,43.76432292,50.49788411,58.99430339,66.73095703,72.77734375,78.00488281,82.83365885,87.30240885,91.7516276,96.44238281,101.9806315,109.1162109,122.3432617,183.8653971,8,Au_ani_0008.jpg,Authentic
11.24267578,21.57242839,26.86914063,30.8421224,34.52587891,38.10123698,41.44075521,44.71061198,48.42952474,52.85742188,61.01057943,83.6163737,128.9018555,177.8282878,209.7431641,225.8876953,21.63069661,42.83968099,53.32373047,60.17496745,65.09700521,69.22070313,73.38509115,77.60644531,81.50292969,85.6319987,90.36995443,99.1883138,128.7744141,179.6930339,211.3458659,225.0782878,6.658854167,13.62727865,17.04899089,19.70279948,22.07454427,24.65869141,27.44108073,30.44498698,33.49951172,37.36279297,46.04394531,80.16878255,133.8611654,185.155599,212.0649414,226.4472656,9,Au_ani_0009.jpg,Authentic
12.45638021,24.14046224,30.45751953,34.4375,37.19222005,39.42594401,41.36686198,42.99869792,44.62890625,46.52132161,48.62988281,50.82666016,53.26367188,56.515625,60.9054362,118.1673177,15.77685547,30.32421875,38.64746094,43.64257813,47.50097656,50.7750651,53.59033203,56.05891927,58.46598307,61.02099609,63.68603516,66.28125,68.96044922,71.84684245,75.49495443,124.0109049,18.94222005,33.53971354,41.65283203,46.36588542,50.23388672,53.55908203,56.47884115,59.15348307,62.01090495,64.94628906,67.79199219,70.76204427,73.96907552,77.5078125,82.04296875,130.2516276,10,Au_ani_0010.jpg,Authentic
